id,site,water,indpop,Germination_time,Green,Red,Survival_flowering,Flowering_time,Inflorescence_size,Survival_num,Survival_fruit,Fruits,Seeds,Infloresncence_byind,Fruits_byind,Seeds_byind,Fitness
5165,tuebingen,l,i,20.14285714,35196.80143,474.3492063,0.571428571,166.5,176838.5,1,0.285714286,138.3903012,3916.445524,176838.5,138.3903012,3916.445524,1118.984435
5165,tuebingen,l,p,22.5,73591.0675,1975.25,0,NA,185339,3.75,0.25,147.7458625,4181.207909,12355.93333,9.849724167,278.7471939,34.84339924
5349,madrid,h,i,22.14285714,47583.65714,117.4027211,1,117.8571429,894529,1,1,766.0273598,21678.57428,894529,766.0273598,21678.57428,21678.57428
5349,madrid,h,p,23.8,68916.962,1310.724286,0.8,121.75,976273.25,17.4,0.8,838.9580286,23742.51221,47522.01333,39.77248352,1125.561284,633.1336589
5349,madrid,l,i,23.66666667,33284.03,65.11626985,0.333333333,127,182835.5,1,0.333333333,161.5182449,4570.966329,182835.5,161.5182449,4570.966329,1523.655443
5349,madrid,l,p,20.8,37376.532,79.63619048,0.8,133.25,61149.5,7.2,0.8,54.68825083,1547.677499,41264.925,36.93207829,1045.177816,41.27139998
5349,tuebingen,h,i,19.71428571,34057.99286,159.6626984,0.857142857,165,520023,1,0.714285714,408.45854,11559.37668,520023,408.45854,11559.37668,8256.69763
5349,tuebingen,h,p,26,126588.6,133.5634921,1,167.1428571,690370.2,12.14285714,0.714285714,551.0848488,15595.70122,40860.21197,32.69540673,925.2800104,371.3262196
5349,tuebingen,l,i,20.57142857,35668.25429,454.6587302,0.857142857,166.3333333,216443.25,1,0.571428571,163.0646024,4614.728248,216443.25,163.0646024,4614.728248,2636.98757
5349,tuebingen,l,p,21,51760.668,502.1666667,0,NA,104091,6,0.2,86.4120826,2445.461936,3469.7,2.880402753,81.51539787,16.30307957
5353,madrid,h,i,28.14285714,27818.15714,55.81185106,1,117.1428571,703694.4286,1,1,624.4741854,17672.61945,703694.4286,624.4741854,17672.61945,17672.61945
5353,madrid,h,p,29.2,63267.362,14.45809524,1,114,1126971.2,11.4,1,976.2346582,27627.44083,284967.4133,249.6135601,7064.06375,920.9146942
5353,madrid,l,i,27.2,16814.38,36.79380952,0.8,122,106147.6667,1,0.6,96.20405603,2722.574786,106147.6667,96.20405603,2722.574786,1633.544871
