"","MR1","MR2","MR9","MR6","MR11","MR3","MR5","MR4","MR7","MR8","MR10"
"SMN_Sum",0.201904262591049,0.0462959066189016,-0.138864524612822,0.706960935722115,-0.0206807328770049,0.0360374918187505,0.0993802568261854,0.106220726891989,0.252127672997635,0.187947723888964,0.16136713838631
"TCI_Spr",0.000113688942014638,0.106770018283853,-0.00571558723592503,-0.240290737526982,0.141640227038436,-0.148914561057284,0.00450339773875572,0.872469894368014,0.0460625991998812,0.0623876545564617,-0.0359066157586947
"TCI_Sum",-0.159851034015232,0.168985390364888,0.0480219508555953,-0.093826604573723,0.0920218568449945,0.0180569868843024,0.119337012778146,0.707582656924333,0.149268618273643,0.0641758416565888,0.0429709414687978
"VCI_Spr",0.0520942699398137,-0.139859976228174,0.0239692126710525,0.137423428712378,-0.00325057887462087,0.0760229727752977,-0.104534950141569,-0.130794362931675,0.919137203372663,-0.141260660181944,0.0309974089742269
"VCI_Sum",0.00579437394633405,0.0415968326957303,-0.0470214552721528,-0.0916031710507288,-0.172293124869494,-0.179512611413599,-0.113900221280139,0.254225024081885,0.546897018117123,0.0868713718917931,-0.0438295278609595
"VHI_Spr",0.0220236787776789,-0.04252246857944,0.0194446492105469,-0.0637679585914111,0.104236480998319,-0.0190521522095671,-0.0621916212947206,0.540464001271965,0.733737900129087,-0.0433149428295797,0.0127997167023179
"WB_DNI",-0.69060432924284,-0.00640782907049854,0.480953588411429,-0.155337651370811,0.269681453979918,0.102597718605944,0.0733427564090703,0.230223489659712,-0.0735432530092939,-0.0568077124403127,0.112380189739576
"GPCC_Sum",0.649404179297137,-0.0715523483847752,-0.070040691528269,0.344531064321022,0.0840772071252085,0.443304306958212,0.295944528299855,-0.0801808075507049,-0.0930670986630848,0.00327760386087949,0.163124054899327
"WC2_WVP_Sum",0.0412105374302273,0.681270670881903,0.162508128416465,0.224037867279611,-0.085439609144451,0.510956989251303,0.130973876445843,-0.128598442889074,-0.0866651073991965,0.0940909371168487,0.182928606856378
"WC2_BIO2",-0.443086184978709,0.0274674516754003,0.354449600272783,-0.22423016311766,0.560779250576723,0.176477806061974,-0.0495097037514248,0.113703930070172,-0.0496132352076799,-0.00929419239482824,0.227811535559388
"WC2_BIO8",0.0346141739996794,0.194291553293022,0.0236313796704196,0.103567355534766,0.321514933466701,0.801062048791013,-0.05402489106185,0.0195699514859211,-0.0180590622148503,-0.0802042398142057,0.0664583308164032
"WC2_BIO15",-0.566080579356307,-0.133519284001362,0.137302640817109,-0.290373690428152,0.0994047855040396,0.240779158090166,0.256909146334075,-0.0555457542375724,-0.00143674391328118,0.0859864882819024,-0.347569816457156
"WC2_BIO19",0.083031109126606,0.228263333097365,0.115648054848904,0.108451547089476,-0.288064362279211,-0.528651390352367,0.506419013480561,0.054129836819169,-0.053866221960444,0.151671853188672,0.0143530663283623
"CHELSA_Tmin_Spr",-0.308865660341216,0.555430121103245,0.485289348344727,0.0320825940293297,-0.175849608650517,0.367539784106801,0.055634577867718,-0.174266038075686,-0.0154599966542717,0.0895553197661743,0.186388725492466
"CHELSA_Tmax_Spr",-0.260256945056743,0.359392162410757,0.608591541725304,-0.0988339987670706,0.372535847068607,0.294813646757452,0.0443387850543605,-0.16574321965529,0.0289756685066217,0.0198102414004087,-0.0869163628073031
"CHELSA_Interann_Temp",0.0963267582187497,0.0786522487412977,-0.690699132655945,0.013628111831246,0.255122484860253,0.240567634898573,-0.374529803393894,-0.177140547767944,0.00777919958759658,-0.0210607433233497,0.125343675613773
"CHELSA_Pre_Spr",0.29225262965989,0.114580058494444,0.328782378201281,0.167511811173184,0.15239933718348,-0.0957009394778821,0.769194675906178,0.0543905996103007,-0.123127049165375,0.00424867604224549,0.208387172372493
"CHELSA_Interann_pre",-0.0119533024902976,0.277025239161229,0.320415186984329,0.0500802313113555,-0.0680432194113616,-0.212280382848821,0.734454116186134,0.114383826663071,-0.0878886962958061,0.063062895911408,-0.0304306706328093
"CHELSA_BIO2",-0.116703013510899,-0.0848808536096212,-0.0743553657603451,-0.0987716942522809,0.887619654164975,0.24669906987773,-0.100703964750824,0.150262920696867,-0.0261034169999645,-0.155637262957185,-0.0175142029656425
"CHELSA_BIO3",0.16575648428818,-0.121597761975464,0.516373939096818,-0.147012988425634,0.169207458581383,-0.530832685734248,0.333903348828914,0.114875754778353,0.076838227412903,-0.020346706757897,-0.104566067136327
"CHELSA_BIO8",0.0418948386000165,0.0728947441089375,-0.0528225694455533,0.128908749052142,0.178662512097986,0.811133453394924,-0.0900297881436305,-0.0995049380666335,-0.0278266249943352,-0.048380886985258,-0.0384375772585593
"CHELSA_BIO13",0.152770528983874,0.163967872774944,0.112114404962389,0.199614946626329,-0.086777067610004,0.00836694457085761,0.870556831904852,-0.0258674370532153,-0.113391936638031,0.102849118452324,-0.134030600884935
"CHELSA_BIO17",0.77714557621364,0.17955383853324,-0.131305009782487,0.305968463205459,-0.039228474632696,-0.066826074591074,0.265186787025141,0.0587299620081401,-0.0474243442037665,-0.0901965449519605,0.208106808570734
"CRU_Cld_Spr",0.686478723510455,0.133043587995202,-0.0370690714848187,0.102255195220977,0.141287535206327,0.0492926910108442,0.262621779834616,-0.061531262127464,-0.0261142177074164,0.0656034763374957,0.152783504170633
"CRU_Cld_Sum",0.798871280617106,0.0440278604955597,-0.300055797856392,0.0296986088780857,-0.0677850787394153,0.149814155831244,0.110384156867531,0.015052093549603,0.0100897752934363,0.220140454108568,0.0406029109195949
"CRU_Dtr_Spr",-0.348236097584263,0.061123654810585,0.060866693082174,-0.284617154475725,0.708653091776593,-0.0686441100395868,-0.0797086729604359,0.0749994302641496,0.0255583333170724,0.00297541535653131,0.0139654057680461
"CRU_Frs_Spr",0.138518998400423,-0.63160758655289,-0.486496730206247,0.152337386815686,0.0463787878523554,0.175482130464491,-0.113619732688439,-0.0460082236725245,-0.0340661449569036,0.175850219832675,0.298183077805705
"CRU_Tmn_Sum",-0.385082440683817,0.807870450937074,0.0719707638061951,-0.162933508759498,0.150787446124238,0.106149031771312,0.0500663513140539,0.0977969091630866,0.00889423835804613,-0.0512887429720635,-0.015210985462723
"CRU_Vap_Spr",0.0585113499088666,0.7554090775365,0.406777417142285,-0.10586547525452,-0.225342518773965,-0.104835065844176,0.186973895789624,-0.00317306610575688,0.0437276575333495,0.0165402056625163,-0.266300369191563
"CRUVap_Sum",0.0404141685855132,0.836491739018336,-0.0871751947846957,0.102418326887282,-0.0972559848873583,0.319784491496699,0.133042654768907,0.0386199445466325,-0.0952126745793963,0.0561112148397335,0.0427405476976211
"CRU_Wet_Spr",0.742608038176873,-0.292596504655241,0.231901963039067,0.0775373356640771,-0.201739387050605,-0.141940715300634,0.186582935837032,-0.0849684021620165,0.00537007200881099,0.00878341291184974,-0.0816512039294245
"CRU_Wet_Sum",0.793902600480818,-0.344137199782674,-0.10185202720085,0.201752812797996,-0.181100781482801,0.208837794737347,0.0187243912965778,-0.0692695142041636,0.022280096855284,0.00430591854332624,-0.109538179212624
"HWSD_Topsoil_ref_bulk_dens",0.0341183907253569,0.289631633921258,0.166945634617147,-0.0933856686317072,-0.00904283770602848,0.318632724940936,-0.205407007120596,0.0440332400531106,-0.0691601814882341,-0.00601908947829527,-0.134021521846248
"HWSD_Topsoil_sand_fraction",-0.0665765167166525,0.100972811374238,-0.0391379630515103,0.0624373592045276,-0.0600810970903114,0.124676285771233,-0.0274738306724702,0.0745911047188464,-0.0658583763243405,0.45557593371185,-0.00115693876138423
"SS_pH",-0.122004628671116,-0.0124845136742275,0.169079056323352,-0.234961833791472,0.0582486234310086,0.183400805139121,-0.15863371609476,-0.0258449932427731,-0.0136188435562438,-0.669424054905843,0.0233155949085862
"BLDFIE",-0.0680335362846174,0.438202264474765,0.63196588057711,-0.363568085978356,0.0513129738699279,-0.0146215546855074,-0.0614766244305262,-0.0096642072598568,-0.00681991440307689,-0.040463996844108,0.121872757182456
"IGBP_DIS_Soil_pH",-0.251003318843917,0.109124950596168,-0.112250455624789,-0.187362320075963,0.167774818785908,0.153495914529467,-0.0922451958428627,0.00119990512285088,0.0150145996757548,-0.664543538667259,-0.0652586432801629
"SuitAg",0.00678153992522112,0.565139911237952,0.00222390782550661,-0.143825525482933,0.0150523396752334,0.143623177258655,-0.0118704787995451,0.0356392893659083,-0.0444713999739495,-0.501347350606079,0.0904939062873699
"Dist2Coast",0.0120695752596079,-0.0482726149128941,-0.2070032938459,-0.140547578745171,0.768929567366826,0.291981462785159,0.0538932021174075,0.0468300333656955,-0.104502368346247,-0.152450214470068,-0.0220904789782482
